TopicFile,DisplayName,Category,BindingTarget,Notes
ConversationStart.mcs.yml,Conversation Start,System,snf_ai_dashboard_recovery.topic.WelcomeStart,Initial handoff into the progressive main menu.
WelcomeStart.mcs.yml,Welcome Start,Menu,Progressive submenu routing,Category-first menu for progressive disclosure.
ResetConversation.mcs.yml,Reset Conversation,System,snf_ai_dashboard_recovery.topic.WelcomeStart,Clears the current route and returns to the main menu.
Fallback.mcs.yml,Fallback,System,Safe next-step routing,Provides safe routing when the request is unclear or unsupported.
OnError.mcs.yml,On Error,System,snf_ai_dashboard_recovery.topic.ErrorTimeoutRecovery,System error redirect with telemetry and recovery routing.
Goodbye.mcs.yml,Goodbye,System,snf_ai_dashboard_recovery.topic.EndOfConversation,Offers a clean exit instead of abandoning the conversation abruptly.
EndOfConversation.mcs.yml,End Of Conversation,System,Feedback and closeout routing,Handles answer resolution, feedback, optional continuation, and conversation closeout.
MultipleTopicsMatched.mcs.yml,Multiple Topics Matched,System,Clarification routing,Asks one clarifying question when more than one area may apply.
ClinicalInsightsMenu.mcs.yml,Clinical Insights Menu,Menu,Clinical insight leaf topics,Routes into patient, therapy, care-plan, and reconciliation topics.
SafetyAndSurveillanceMenu.mcs.yml,Safety And Surveillance Menu,Menu,Safety leaf topics,Routes into med safety, infection, outbreak, and environmental safety topics.
QualityAndOperationsMenu.mcs.yml,Quality And Operations Menu,Menu,Quality and operational leaf topics,Routes into documentation, quality, staffing, flow, and utilization topics.
CommunicationAndTransitionsMenu.mcs.yml,Communication And Transitions Menu,Menu,Communication and transition leaf topics,Routes into family, discharge, ACP, and hospice topics.
HelpAndQuickStart.mcs.yml,Help And Quick Start,System,snf_ai_dashboard_recovery.topic.WelcomeStart,Provides role-based guidance and returns to main menu.
ExecutiveQuickActions.mcs.yml,Executive Quick Actions,System,Button-only executive shortcut routing,Provides no-typing executive quick actions and routes directly to operational topics.
AmbiguousRequestDisambiguation.mcs.yml,Ambiguous Request Disambiguation,System,Clarifying route selection,Recovers broad user requests into the right area instead of dropping directly to the main menu.
ErrorTimeoutRecovery.mcs.yml,Error Timeout Recovery,System,Recovery routing plus urgent escalation,Recovery path for retry, menu, urgent escalation, or reset.
StartOver.mcs.yml,Start Over,System,snf_ai_dashboard_recovery.topic.WelcomeStart,Resets the flow and returns to the main menu.
DataQualityAndMetricExplanation.mcs.yml,Data Quality And Metric Explanation,System,snf_ai_dashboard_recovery.topic.HelpAndQuickStart,Explains definitions, refresh timing, and source-system differences.
FileAndImageProcessingMenu.mcs.yml,File And Image Processing Menu,System,Upload routing menu,Routes the user into governed file or image intake paths.
FileAndImageUploadGuidance.mcs.yml,File And Image Upload Guidance,System,snf_ai_dashboard_recovery.topic.FileAndImageProcessingMenu,Explains safe upload expectations and minimum-necessary handling before returning to the upload menu.
UploadClinicalDocument.mcs.yml,Upload Clinical Document,System,Structured intake and manual governed triage,Collects governed document or export intake and gives the next approved upload step without calling an unvalidated backend.
UploadClinicalImage.mcs.yml,Upload Clinical Image,System,Structured intake and manual governed triage,Collects governed image intake and gives the next approved upload step without calling an unvalidated backend.
EscalateUrgentClinicalConcern.mcs.yml,Escalate Urgent Clinical Concern,System,Structured intake and manual escalation,Collects minimum urgent context and gives the next escalation step without calling an unvalidated backend.
PatientRiskStratification.mcs.yml,Patient Risk Stratification,Clinical Insight,Structured intake with automated handoff,Collects risk review intake and routes to automated handoff owners with SLA-aware next steps.
TherapyPickupOpportunity.mcs.yml,Therapy Pickup Opportunity,Clinical Insight,Structured intake with automated handoff,Collects therapy opportunity intake and routes to automated handoff owners with SLA-aware next steps.
IndividualPatientClinicalOverview.mcs.yml,Individual Patient Clinical Overview,Clinical Insight,Structured intake with automated handoff,Collects whole-patient review intake and routes to automated handoff owners with SLA-aware next steps.
CarePlanAdherenceAndGoalAttainment.mcs.yml,Care Plan Adherence And Goal Attainment,Clinical Insight,Structured intake with automated handoff,Collects care-plan adherence intake and routes to automated handoff owners with SLA-aware next steps.
MedicationReconciliationCompliance.mcs.yml,Medication Reconciliation Compliance,Clinical Insight,Structured intake with automated handoff,Collects reconciliation intake and routes to automated handoff owners with SLA-aware next steps.
