WorkflowName,PrimaryProtocol,SecondaryProtocol,PrimaryDataSources,PrimaryTriggerType,ClinicalSignoffRequired,Notes
RefreshHealthcareIntelligence,Clinical_Data_Quality_Monitoring,N_A,EHR_Data_Store_Fabric,Scheduled,Yes,Refresh blocked if critical data quality checks fail
GenerateOnDemandPatientInsight,Clinical_Assistant_Instructions,Clinical_Topic_Map_and_Intents,EHR_Data_Store_KnowledgeBase,Assistant_Request,Yes,High-risk outputs require escalation language
SendClinicalAlert,Escalation_Policy_and_Procedure,Clinical_Alert_Routing_Matrix,Workflow_System_Data_Store,Rule_or_Manual,Yes,Severity routing must match facility policy
ExportCareSummary,Patient_Consent_and_Authorization,Clinical_Documentation_Templates,EHR_Data_Store_DMS,Assistant_or_Dashboard,Yes,Consent and audience validation required
CreateClinicalDocument,Clinical_Documentation_Templates,Clinical_Assistant_Instructions,EHR_KnowledgeBase_DMS,Assistant_or_Remediation,Yes,No unsupported narrative generation
UpdateCarePlanFromInsights,Clinical_Pathway_Templates,Advance_Care_Planning_Process_Description,EHR_Data_Store_KnowledgeBase,Insight_or_Variance,Yes,Requires clinician acceptance before activation
TriggerMedicationReview,Medication_Reconciliation_Protocol_Complete,Medication_Safety_Program_Description,EHR_Pharmacy_CDS,Medication_Rule,Yes,Pharmacist or clinician review required
InitiateFallResponseProtocol,Fall_Prevention_Protocol_Complete,Environmental_Safety_Assessment_Protocols,EHR_Sensors_Workflow,Fall_or_NearFall_Signal,Yes,Post-fall reassessment timing enforced
InitializeInfectionControlProtocol,Infection_Control_Outbreak_Response_Protocol,Infection_Control_Policy_and_Procedure_Manual,EHR_Labs_Fabric,Outbreak_or_Lab_Signal,Yes,Infection prevention owner required
GenerateQualityMeasureReport,Quality_Measure_Specification_Library,Regulatory_Requirement_Tracking_Matrix,Fabric_BI_Data_Store,Scheduled_or_Manual,Yes,Definitions must match reporting spec

