DataElementName,Domain,Definition,SourceSystem,AllowedValues,PHIClass,UsedBy,Status
PatientId,Identity,Unique patient identifier,EHR,Facility_defined,Confidential,All clinical workflows,StarterTemplate
EpisodeOfCare,Clinical_Context,Current episode or stay identifier,EHR,Facility_defined,Confidential,Assistant_and_dashboards,StarterTemplate
EncounterId,Clinical_Context,Specific encounter or contact identifier,EHR,Facility_defined,Confidential,Workflows_and_audit,StarterTemplate
Unit,Operations,Current assigned care unit,EHR_or_staffing_system,Facility_defined,Internal,Dashboards_and_workflows,StarterTemplate
RoomBed,Operations,Current room and bed assignment,EHR_or_bed_system,Facility_defined,Confidential,Patient_flow_and_safety,StarterTemplate
AssignedRole,Security,Current responsible role or discipline,Data_store,Facility_roles,Internal,RLS_and_workflows,StarterTemplate
ConsentFlag,Privacy,Indicates data sharing or special disclosure constraints,Data_store,True_or_false,Strictly_Confidential,Security_and_exports,StarterTemplate
CodeStatus,Clinical_Safety,Current resuscitation preference,EHR,Facility_defined,Strictly_Confidential,Direct_care_and_alerts,StarterTemplate
AllergyList,Medication_Safety,Documented allergies and reactions,EHR,Structured_list,Strictly_Confidential,Medication_workflows,StarterTemplate
MedicationList,Medication_Safety,Active medication list,EHR,Structured_list,Strictly_Confidential,Medication_workflows_and_patient_views,StarterTemplate
ActiveProblems,Clinical_Context,Current diagnoses and active issues,EHR,Structured_list,Strictly_Confidential,Assistant_and_dashboards,StarterTemplate
VitalSignsTrend,Observation,Recent vital signs trend summary,EHR_or_streaming_feed,Numeric_and_text,Strictly_Confidential,Risk_and_surveillance,StarterTemplate
RiskScore,Analytics,Derived patient risk value,Analytics_platform,Numeric,Confidential,Assistant_and_dashboards,StarterTemplate
CarePlanPhase,Care_Planning,Current care phase such as admission rehab or discharge,EHR_or_data_store,Facility_defined,Confidential,Care_plan_and_workflows,StarterTemplate
AlertSeverity,Operations,Alert priority level,Workflow_system,Low_Medium_High_Critical,Internal,Alerting_and_governance,StarterTemplate
DocumentationStatus,Documentation,Current completeness or timeliness state,EHR_or_DMS,Complete_Incomplete_Overdue,Internal,Documentation_dashboards,StarterTemplate
