PageName,PrimaryAIVisual,SecondaryAIVisual,PredictionNeeded,KeySecurityConcern,ValidationFocus
Executive_Operations_Command_Center,Smart_Narrative,Key_Influencers,No,Executive_access_scope,Facility_summary_accuracy
Patient_Safety_And_Risk_Surveillance,Decomposition_Tree,Anomaly_Detection,Yes,Patient_assignment_RLS,Risk_explainability
Therapy_Productivity_And_Outcomes,Key_Influencers,Personalized_Benchmarking,Yes,Therapy_role_scope,Outcome_interpretation
Infection_Control_And_Surveillance,Anomaly_Detection,Smart_Narrative,Yes,Unit_wide_PHI_access,Outbreak_signal_accuracy
Medication_Safety_And_Stewardship,Key_Influencers,Uncertainty_Visualization,Yes,Medication_detail_restrictions,Medication_risk_false_positives
Staffing_Optimization_And_Workload_Balance,What_If_Parameters,Simulation_Visuals,Yes,HR_sensitive_data,Scenario_reasonableness
Quality_Measures_And_Regulatory_Compliance,Smart_Narrative,Decomposition_Tree,No,Regulatory_export_controls,Measure_definition_accuracy
Patient_Flow_And_Bed_Management,Simulation_Visuals,Key_Influencers,Yes,Operational_role_scope,Flow_prediction_validity
Family_Communication_And_Satisfaction,Smart_Narrative,Decomposition_Tree,No,Consent_and_contact_privacy,Sentiment_interpretation
Clinical_Documentation_Completeness,Key_Influencers,Smart_Narrative,No,Discipline_assignment_scope,Gap_attribution_accuracy
Individual_Patient_Clinical_Overview,Smart_Narrative,QandA_Visual,Yes,Strict_patient_level_RLS,Patient_context_accuracy
Population_Health_And_Cohort_Analysis,Survival_Analysis,Bias_Detection,Yes,Deidentification_and_minimum_necessary,Cohort_bias_and_validity

