RoleId,RoleTitle,PrimaryResponsibility,ApprovesClinicalLogic,ApprovesPrivacy,ApprovesRelease,Notes
Executive_Sponsor,Executive Sponsor,Program sponsorship and strategic approval,No,No,Yes,Leadership owner
Clinical_Sponsor,Clinical Sponsor,Clinical safety and content oversight,Yes,No,Yes,Core clinical approver
Nursing_Director,Nursing Director,Nursing workflows and escalation paths,Yes,No,Yes,Nursing operations owner
Therapy_Director,Therapy Director,Therapy workflows and outcome logic,Yes,No,Yes,Therapy approver
Medication_Safety_Owner,Medication Safety Owner,Medication review and stewardship logic,Yes,No,Yes,Pharmacy or med-safety lead
Infection_Prevention_Owner,Infection Prevention Owner,Infection surveillance and outbreak response,Yes,No,Yes,IPC lead
Quality_Owner,Quality Owner,Quality measures and reporting definitions,Yes,No,Yes,Quality program owner
Documentation_Improvement_Owner,Documentation Improvement Owner,Documentation completeness and remediation,Yes,No,Yes,CDI owner
Case_Management_Lead,Case Management Lead,Care transitions and summary exports,Yes,No,Yes,Discharge and family coordination
Compliance_Owner,Compliance Owner,Regulatory and policy compliance,No,Yes,Yes,Compliance approver
Privacy_Owner,Privacy Owner,Consent, disclosure, and audit review,No,Yes,Yes,Privacy approver
BI_Owner,BI Owner,Semantic model, dashboards, and data product delivery,No,No,Yes,Analytics owner
Data_Platform_Owner,Data Platform Owner,Data ingestion, quality, and platform reliability,No,No,Yes,Platform owner
Engineering_Owner,Engineering Owner,Implementation, CI/CD, rollback, and observability,No,No,Yes,Technical owner
Assigned_Clinician,Assigned Clinician,Patient-specific clinical review and acceptance,Yes,No,No,Patient-level owner
Assigned_Clinical_Owner,Assigned Clinical Owner,Topic-specific patient insight review,Yes,No,No,Varies by use case
Charge_Nurse_or_Equivalent,Charge Nurse or Equivalent,Operational alert response,Yes,No,No,Shift-level escalation owner
Case_Manager_or_Equivalent,Case Manager or Equivalent,Care summary and communication coordination,Yes,No,No,Transition owner

