TopicFile,DisplayName,Category,BindingTarget,Notes
ConversationStart.mcs.yml,Conversation Start,System,snf_ai_dashboard.topic.WelcomeStart,Personalized greeting using System.User.DisplayName then routes to main menu.
WelcomeStart.mcs.yml,Welcome Start,Menu,Progressive submenu routing,Category-first menu for progressive disclosure across all 8 roles.
ResetConversation.mcs.yml,Reset Conversation,System,snf_ai_dashboard.topic.WelcomeStart,"Merged with StartOver. Clears context and returns to main menu. Triggers: reset conversation, clear this, start over, reset workflow, go back to menu."
Fallback.mcs.yml,Fallback,System,Safe next-step routing,FallbackCount < 3 routes to WelcomeStart; else routes to AmbiguousRequestDisambiguation.
OnError.mcs.yml,On Error,System,snf_ai_dashboard.topic.ErrorTimeoutRecovery,"System error redirect with telemetry including ActivityText for debugging. Routes to ErrorTimeoutRecovery, not CancelAllDialogs."
Goodbye.mcs.yml,Goodbye,System,snf_ai_dashboard.topic.EndOfConversation,Direct exit to EndOfConversation — no confirmation question. Clear goodbye intent requires no re-confirmation.
EndOfConversation.mcs.yml,End Of Conversation,System,Feedback and closeout routing,"CSAT + continuation. TryAgain=false path goes to EndConversation directly (loop bug fixed). TryAgain=true returns to WelcomeStart."
MultipleTopicsMatched.mcs.yml,Multiple Topics Matched,System,OnSelectIntent system event,"System event trigger (OnSelectIntent), not OnRecognizedIntent. Dynamically presents matched topics from System.Recognizer.IntentOptions."
ClinicalInsightsMenu.mcs.yml,Clinical Insights Menu,Menu,Clinical insight leaf topics,Routes into patient risk (with Sepsis escalation path) therapy pickup care-plan and reconciliation topics. Variable renamed to ClinicalMenuChoice.
SafetyAndSurveillanceMenu.mcs.yml,Safety And Surveillance Menu,Menu,Safety leaf topics,Routes into med safety infection outbreak and environmental safety topics. Variable renamed to SafetyMenuChoice.
QualityAndOperationsMenu.mcs.yml,Quality And Operations Menu,Menu,Quality and operational leaf topics,Routes into documentation quality staffing flow and utilization topics. Variable renamed to QualityMenuChoice.
CommunicationAndTransitionsMenu.mcs.yml,Communication And Transitions Menu,Menu,Communication and transition leaf topics,Routes into family discharge ACP and hospice topics. Variable renamed to TransitionsMenuChoice.
HelpAndQuickStart.mcs.yml,Help And Quick Start,System,snf_ai_dashboard.topic.WelcomeStart,"8 roles now covered: Nursing, Therapy, Executive, Quality, Operations, CNA, Activities, Maintenance."
ExecutiveQuickActions.mcs.yml,Executive Quick Actions,System,Button-only executive shortcut routing,"Fixed: removed duplicate TopPriorityResidents choice. Fixed: HandoffQueue now routes to HandoffQueueReview (not EscalateUrgentClinicalConcern). 7 distinct shortcuts."
FacilityContextSwitcher.mcs.yml,Facility Context Switcher,System,Active-facility context switch with button-only choices,Switches selected facility context using a closed list and preserves session continuity.
AmbiguousRequestDisambiguation.mcs.yml,Ambiguous Request Disambiguation,System,Clarifying route selection,Recovers broad user requests into the right area when Fallback FallbackCount threshold is exceeded.
ErrorTimeoutRecovery.mcs.yml,Error Timeout Recovery,System,Recovery routing plus urgent escalation,Recovery path for retry menu urgent escalation or reset.
HandoffQueueReview.mcs.yml,Handoff Queue Review,System,Structured intake and manual queue review,NEW topic. Collects queue scope shift window and priority tier for manual handoff queue review.
DataQualityAndMetricExplanation.mcs.yml,Data Quality And Metric Explanation,System,snf_ai_dashboard.topic.WelcomeStart,"Fixed: now branches on DataIssueChoice — 4 distinct responses for MetricDefinition RefreshTiming DashboardVsSource MissingData. Returns to WelcomeStart not HelpAndQuickStart."
FileAndImageProcessingMenu.mcs.yml,File And Image Processing Menu,System,Upload routing menu,Routes the user into governed file or image intake paths.
FileAndImageUploadGuidance.mcs.yml,File And Image Upload Guidance,System,snf_ai_dashboard.topic.FileAndImageProcessingMenu,Explains safe upload expectations and minimum-necessary handling before returning to the upload menu.
